Country Name;Country Code;Indicator Name;Indicator Code;Year;Value
Argentina;ARG;Individuals using the Internet (% of population);IT.NET.USER.ZS;1992;0,002992874
Argentina;ARG;Individuals using the Internet (% of population);IT.NET.USER.ZS;1993;0,029527065
Argentina;ARG;Individuals using the Internet (% of population);IT.NET.USER.ZS;1994;0,043705951
Argentina;ARG;Individuals using the Internet (% of population);IT.NET.USER.ZS;1995;0,086277081
Argentina;ARG;Individuals using the Internet (% of population);IT.NET.USER.ZS;1996;0,141954704
Argentina;ARG;Individuals using the Internet (% of population);IT.NET.USER.ZS;1997;0,280339882
Argentina;ARG;Individuals using the Internet (% of population);IT.NET.USER.ZS;1998;0,83076668
Argentina;ARG;Individuals using the Internet (% of population);IT.NET.USER.ZS;1999;3,284481956
Argentina;ARG;Individuals using the Internet (% of population);IT.NET.USER.ZS;2000;7,038683086
Argentina;ARG;Individuals using the Internet (% of population);IT.NET.USER.ZS;2001;9,780807285
Argentina;ARG;Individuals using the Internet (% of population);IT.NET.USER.ZS;2002;10,88212438
Argentina;ARG;Individuals using the Internet (% of population);IT.NET.USER.ZS;2003;11,91369655
Argentina;ARG;Individuals using the Internet (% of population);IT.NET.USER.ZS;2004;16,03668411
Argentina;ARG;Individuals using the Internet (% of population);IT.NET.USER.ZS;2005;17,72058337
Argentina;ARG;Individuals using the Internet (% of population);IT.NET.USER.ZS;2006;20,9272021
Argentina;ARG;Individuals using the Internet (% of population);IT.NET.USER.ZS;2007;25,94663294
Argentina;ARG;Individuals using the Internet (% of population);IT.NET.USER.ZS;2008;28,11262348
Argentina;ARG;Individuals using the Internet (% of population);IT.NET.USER.ZS;2009;34
Argentina;ARG;Individuals using the Internet (% of population);IT.NET.USER.ZS;2010;45
Argentina;ARG;Individuals using the Internet (% of population);IT.NET.USER.ZS;2011;51
Argentina;ARG;Individuals using the Internet (% of population);IT.NET.USER.ZS;2012;55,8
Argentina;ARG;Individuals using the Internet (% of population);IT.NET.USER.ZS;2013;59,9
Argentina;ARG;Individuals using the Internet (% of population);IT.NET.USER.ZS;2014;64,7
Argentina;ARG;Individuals using the Internet (% of population);IT.NET.USER.ZS;2015;68,04306411
Argentina;ARG;Individuals using the Internet (% of population);IT.NET.USER.ZS;2016;70,96898082
Argentina;ARG;Individuals using the Internet (% of population);IT.NET.USER.ZS;2017;74,29490687
Argentina;ARG;Individuals using the Internet (% of population);IT.NET.USER.ZS;2018;77,7
Argentina;ARG;Individuals using the Internet (% of population);IT.NET.USER.ZS;2019;79,94695203
Argentina;ARG;Individuals using the Internet (% of population);IT.NET.USER.ZS;2020;85,51438646
Argentina;ARG;Individuals using the Internet (% of population);IT.NET.USER.ZS;2021;87,15070683
Argentina;ARG;Individuals using the Internet (% of population);IT.NET.USER.ZS;2022;88,37535691
